
10/08,月,ソ,ヤフー,13:00,0-3,V,"38,561",○,6,-20,2:52,西　勇輝,山田　大樹,李大浩,中２,西　勇輝,山田　大樹,7,0,2,11,0,0,0,0,9
10/07,日,西,京セラ,13:00,7-0,H,"24,274",○,6,-21,2:41,前田　祐二,牧田　和久,李大浩,中２,前田　祐二,牧田　和久,12,0,1,6,6,0,0,0,6
10/05,金,ソ,京セラ,18:00,3-1,H,"18,719",○,6,-22,2:33,金子　千尋,大隣　憲司,李大浩,左本,金子　千尋,大隣　憲司,6,2,0,7,7,0,1,1,10
10/03,水,ロ,京セラ,18:00,2-1,H,"13,829",○,6,-23,2:58,木佐貫　洋,成瀬　善久,バルディリス,中安,平野　佳寿,薮田　安彦,5,1,0,9,4,1,1,1,5
10/01,月,楽,京セラ,18:00,3-2,H,"10,226",○,6,-24,2:53,西　勇輝,菊池　保則,大引啓次,左本,西　勇輝,菊池　保則,8,1,1,6,7,0,2,2,3

09/30,日,西,西武ド,14:00,4-3,V,"28,709",●,6,-25,2:47,海田　智行,牧田　和久,秋山翔吾,右２,牧田　和久,海田　智行,9,0,1,3,9,1,4,4,4
09/29,土,ロ,ＱＶＣ,14:00,0-5,V,"10,348",○,6,-24,3:25,マエストリ,藤岡　貴裕,宮崎祐樹,左本,マエストリ,藤岡　貴裕,10,2,2,4,8,0,0,0,4
09/26,水,ソ,京セラ,18:00,3-0,H,"15,337",○,6,-25,3:11,前田　祐二,新垣　渚,李大浩,左本,前田　祐二,新垣　渚,7,1,0,10,9,0,0,0,7
09/25,火,ソ,京セラ,18:00,0-7,H,"14,062",●,6,-26,2:51,木佐貫　洋,武田　翔太,今宮健太,左犠飛,武田　翔太,木佐貫　洋,4,0,1,7,14,0,7,6,6
09/24,月,ロ,ＱＶＣ,18:15,5-0,V,"11,295",●,6,-25,2:31,西　勇輝,グライシンガー,岡田幸文,中安,グライシンガー,西　勇輝,3,0,0,6,10,0,5,3,5
09/22,土,ロ,ＱＶＣ,14:00,8-3,V,"20,617",●,6,-24,2:47,海田　智行,藤岡　貴裕,清田育宏,右本,藤岡　貴裕,海田　智行,8,0,0,5,11,2,8,8,6
09/21,金,ロ,ＱＶＣ,18:15,3-1,V,"12,336",●,6,-23,2:45,マエストリ,成瀬　善久,サブロー,左安,成瀬　善久,マエストリ,4,0,0,6,10,0,3,3,8
09/19,水,日,札幌ド,18:00,4-2,V,"17,076",●,6,-22,3:21,前田　祐二,谷元　圭介,糸井嘉男,右安,谷元　圭介,前田　祐二,9,0,0,7,8,0,4,2,9
09/18,火,日,札幌ド,18:00,6-2,V,"22,230",●,6,-21,2:56,小松　聖,武田　勝,糸井嘉男,右本,武田　勝,小松　聖,4,1,0,9,13,2,6,6,3
09/17,月,日,札幌ド,13:00,5-4,V,"27,406",●,6,-20,3:25,木佐貫　洋,森内　壽春,杉谷拳士,右安,増井　浩俊,ミンチェ,9,0,1,7,13,0,5,5,6
09/16,日,楽,ほっと,13:00,1-3,H,"18,833",●,6,-19,3:25,海田　智行,田中　将大,ガルシア,左安,高堀　和也,海田　智行,7,0,0,12,7,1,3,3,2
09/15,土,楽,京セラ,14:00,2-3,H,"16,838",●,6,-18,3:27,マエストリ,菊池　保則,ガルシア,左２,菊池　保則,マエストリ,6,0,1,5,10,0,3,3,3
09/14,金,楽,京セラ,18:00,2-7,H,"11,403",●,6,-17,3:37,井川　慶,辛島　航,銀次,右犠飛,辛島　航,佐藤　達也,6,0,0,9,11,0,7,5,8
09/13,木,西,西武ド,18:00,8-1,V,"13,673",●,6,-16,2:56,前田　祐二,牧田　和久,熊代聖人,右犠飛,牧田　和久,前田　祐二,4,0,0,5,12,0,8,4,5
09/12,水,西,西武ド,18:00,4-3,V,"13,945",●,6,-15,3:14,小松　聖,菊池　雄星,カーター,中犠飛,ウィリアムス,ミンチェ,7,0,0,10,6,1,4,4,6
10/08,月,ソ,ヤフー,13:00,0-3,V,"38,561",○,6,-20,2:52,西　勇輝,山田　大樹,李大浩,中２,西　勇輝,山田　大樹,7,0,2,11,0,0,0,0,9
10/07,日,西,京セラ,13:00,7-0,H,"24,274",○,6,-21,2:41,前田　祐二,牧田　和久,李大浩,中２,前田　祐二,牧田　和久,12,0,1,6,6,0,0,0,6
10/05,金,ソ,京セラ,18:00,3-1,H,"18,719",○,6,-22,2:33,金子　千尋,大隣　憲司,李大浩,左本,金子　千尋,大隣　憲司,6,2,0,7,7,0,1,1,10
10/03,水,ロ,京セラ,18:00,2-1,H,"13,829",○,6,-23,2:58,木佐貫　洋,成瀬　善久,バルディリス,中安,平野　佳寿,薮田　安彦,5,1,0,9,4,1,1,1,5
10/01,月,楽,京セラ,18:00,3-2,H,"10,226",○,6,-24,2:53,西　勇輝,菊池　保則,大引啓次,左本,西　勇輝,菊池　保則,8,1,1,6,7,0,2,2,3
09/30,日,西,西武ド,14:00,4-3,V,"28,709",●,6,-25,2:47,海田　智行,牧田　和久,秋山翔吾,右２,牧田　和久,海田　智行,9,0,1,3,9,1,4,4,4
09/29,土,ロ,ＱＶＣ,14:00,0-5,V,"10,348",○,6,-24,3:25,マエストリ,藤岡　貴裕,宮崎祐樹,左本,マエストリ,藤岡　貴裕,10,2,2,4,8,0,0,0,4
09/26,水,ソ,京セラ,18:00,3-0,H,"15,337",○,6,-25,3:11,前田　祐二,新垣　渚,李大浩,左本,前田　祐二,新垣　渚,7,1,0,10,9,0,0,0,7
09/25,火,ソ,京セラ,18:00,0-7,H,"14,062",●,6,-26,2:51,木佐貫　洋,武田　翔太,今宮健太,左犠飛,武田　翔太,木佐貫　洋,4,0,1,7,14,0,7,6,6
09/24,月,ロ,ＱＶＣ,18:15,5-0,V,"11,295",●,6,-25,2:31,西　勇輝,グライシンガー,岡田幸文,中安,グライシンガー,西　勇輝,3,0,0,6,10,0,5,3,5
09/22,土,ロ,ＱＶＣ,14:00,8-3,V,"20,617",●,6,-24,2:47,海田　智行,藤岡　貴裕,清田育宏,右本,藤岡　貴裕,海田　智行,8,0,0,5,11,2,8,8,6
09/21,金,ロ,ＱＶＣ,18:15,3-1,V,"12,336",●,6,-23,2:45,マエストリ,成瀬　善久,サブロー,左安,成瀬　善久,マエストリ,4,0,0,6,10,0,3,3,8
09/19,水,日,札幌ド,18:00,4-2,V,"17,076",●,6,-22,3:21,前田　祐二,谷元　圭介,糸井嘉男,右安,谷元　圭介,前田　祐二,9,0,0,7,8,0,4,2,9
09/18,火,日,札幌ド,18:00,6-2,V,"22,230",●,6,-21,2:56,小松　聖,武田　勝,糸井嘉男,右本,武田　勝,小松　聖,4,1,0,9,13,2,6,6,3
09/17,月,日,札幌ド,13:00,5-4,V,"27,406",●,6,-20,3:25,木佐貫　洋,森内　壽春,杉谷拳士,右安,増井　浩俊,ミンチェ,9,0,1,7,13,0,5,5,6
09/16,日,楽,ほっと,13:00,1-3,H,"18,833",●,6,-19,3:25,海田　智行,田中　将大,ガルシア,左安,高堀　和也,海田　智行,7,0,0,12,7,1,3,3,2
09/15,土,楽,京セラ,14:00,2-3,H,"16,838",●,6,-18,3:27,マエストリ,菊池　保則,ガルシア,左２,菊池　保則,マエストリ,6,0,1,5,10,0,3,3,3
09/14,金,楽,京セラ,18:00,2-7,H,"11,403",●,6,-17,3:37,井川　慶,辛島　航,銀次,右犠飛,辛島　航,佐藤　達也,6,0,0,9,11,0,7,5,8
09/13,木,西,西武ド,18:00,8-1,V,"13,673",●,6,-16,2:56,前田　祐二,牧田　和久,熊代聖人,右犠飛,牧田　和久,前田　祐二,4,0,0,5,12,0,8,4,5
09/12,水,西,西武ド,18:00,4-3,V,"13,945",●,6,-15,3:14,小松　聖,菊池　雄星,カーター,中犠飛,ウィリアムス,ミンチェ,7,0,0,10,6,1,4,4,6
09/11,火,西,西武ド,18:00,2-3,V,"11,979",○,6,-14,3:23,木佐貫　洋,岸　孝之,梶本勇介,左犠飛,比嘉　幹貴,涌井　秀章,8,0,0,0,8,0,2,2,12
09/09,日,日,京セラ,13:00,0-2,H,"21,416",●,6,-15,2:52,海田　智行,中村　勝,糸井嘉男,左安,中村　勝,海田　智行,5,0,0,7,10,0,2,2,4
09/08,土,日,京セラ,14:00,2-1,H,"16,079",○,6,-14,3:10,マエストリ,ウルフ,李大浩,中安,平野　佳寿,石井　裕也,7,0,0,7,6,0,1,1,10
09/07,金,日,京セラ,18:00,1-2,H,"13,551",●,6,-15,2:40,井川　慶,吉川　光夫,中田翔,左本,吉川　光夫,井川　慶,5,0,0,13,10,1,2,2,3
09/05,水,ロ,ほっと,18:00,2-0,H,"18,409",○,6,-14,3:02,前田　祐二,小野　晋吾,日高剛,中安,前田　祐二,小野　晋吾,7,0,0,5,7,0,0,0,6
09/04,火,ロ,京セラ,18:00,3-1,H,"11,638",○,6,-15,2:48,木佐貫　洋,グライシンガー,,,木佐貫　洋,グライシンガー,12,0,0,4,4,1,1,1,7
09/03,月,楽,Ｋスタ,18:00,3-4,V,"11,558",○,6,-16,4:04,小松　聖,永井　怜,後藤光尊,中犠飛,小松　聖,永井　怜,14,0,0,10,12,0,3,3,3
09/02,日,楽,Ｋスタ,14:00,0-0,V,"15,310",△,6,-17,3:34,海田　智行,田中　将大,,,,,7,0,0,11,5,0,0,0,6
09/01,土,楽,Ｋスタ,18:00,4-7,V,"15,050",○,6,-17,3:09,マエストリ,ダックワース,安達了一,左２,マエストリ,ダックワース,14,3,1,4,6,0,4,1,8

08/31,金,楽,Ｋスタ,18:00,3-2,V,"12,809",●,6,-18,3:07,井川　慶,辛島　航,フェルナンデス,左本,辛島　航,井川　慶,8,1,1,7,9,1,3,3,6
08/30,木,ソ,ヤフー,18:00,1-4,V,"36,023",○,6,-17,3:29,マクレーン,山田　大樹,梶本勇介,右安,岸田　護,岡島　秀樹,12,0,0,4,7,0,1,1,8
08/28,火,ソ,ヤフー,18:00,1-0,V,"35,344",●,6,-18,2:41,木佐貫　洋,攝津　正,小久保裕紀,中安,攝津　正,木佐貫　洋,2,0,0,8,8,0,1,1,8
08/26,日,西,京セラ,13:00,7-1,H,"22,029",○,6,-17,2:36,マエストリ,岡本　洋介,Ｔ−岡田,右２,マエストリ,岡本　洋介,12,1,0,7,4,0,1,1,11
08/25,土,西,京セラ,18:00,5-10,H,"21,700",●,6,-18,3:49,小松　聖,石井　一久,ヘルマン,左２,石井　一久,小松　聖,11,1,0,5,12,1,10,10,7
08/24,金,西,京セラ,18:00,2-6,H,"15,400",●,6,-17,3:37,山田　修義,野上　亮磨,炭谷銀仁朗,左３,野上　亮磨,山田　修義,10,0,0,4,11,0,6,5,5
08/23,木,日,札幌ド,18:00,7-1,V,"21,668",●,6,-16,2:22,寺原　隼人,ウルフ,稲葉篤紀,右犠飛,ウルフ,寺原　隼人,3,0,0,9,7,2,7,7,5
08/22,水,日,旭川,13:00,8-13,V,"14,168",○,6,-15,3:37,マクレーン,八木　智哉,バルディリス,中安,マクレーン,八木　智哉,16,3,2,4,14,1,8,8,6
08/21,火,日,旭川,13:00,13-3,V,"16,320",●,6,-16,3:17,木佐貫　洋,武田　勝,陽岱鋼,中２,武田　勝,木佐貫　洋,8,0,0,4,17,0,13,13,4
