
10/05,金,広,ナゴヤ,18:00,1-4,H,"27,108",●,2,22,2:39,中田　賢一,バリントン,エルドレッド,右犠飛,バリントン,中田　賢一,8,0,1,4,6,2,4,3,9
10/03,水,阪,ナゴヤ,18:00,4-1,H,"22,487",○,2,23,2:46,伊藤　準規,伊藤　和雄,,,山本昌,伊藤　和雄,9,0,3,5,2,0,1,1,5
10/01,月,Ｄ,横浜,18:00,2-6,V,"8,769",○,2,22,3:09,岩田　慎司,藤井　秀悟,平田良介,中本,田島　慎二,藤井　秀悟,12,2,1,7,7,1,2,2,6

09/30,日,Ｄ,横浜,13:00,2-13,V,"10,340",○,2,21,2:51,中田　賢一,王　溢正,ブランコ,左安,中田　賢一,王　溢正,15,2,1,3,6,0,2,2,8
09/29,土,ヤ,神宮,18:00,0-4,V,"16,592",○,2,20,3:19,川上　憲伸,ロマン,堂上剛裕,中犠飛,川上　憲伸,ロマン,9,0,0,5,9,0,0,0,3
09/27,木,Ｄ,ナゴヤ,18:00,1-2,H,"20,812",●,2,19,3:04,小川　龍也,高崎　健太郎,内村賢介,中安,高崎　健太郎,小川　龍也,6,0,0,11,5,1,2,2,9
09/26,水,Ｄ,ナゴヤ,18:00,2-8,H,"21,546",●,2,20,3:03,山内　壮馬,加賀美　希昇,内村賢介,中犠飛,加賀美　希昇,山内　壮馬,6,0,0,5,11,1,8,8,6
09/25,火,Ｄ,ナゴヤ,18:00,2-2,H,"21,333",△,2,21,3:57,岩田　慎司,三浦　大輔,,,,,9,1,0,11,9,1,2,1,12
09/23,日,阪,甲子園,14:00,5-2,V,"46,385",●,2,21,2:59,西川　健太郎,メッセンジャー,マートン,中安,メッセンジャー,平井　正史,7,0,0,8,8,1,5,4,3
09/22,土,阪,甲子園,14:00,0-2,V,"46,810",○,2,22,3:06,伊藤　準規,能見　篤史,大島洋平,中安,伊藤　準規,能見　篤史,11,0,1,10,4,0,0,0,4
09/21,金,阪,甲子園,18:00,2-3,V,"31,789",○,2,21,2:54,山本昌,岩田　稔,ブランコ,中本,武藤　祐太,岩田　稔,4,1,0,10,7,0,2,1,6
09/19,水,巨,ナゴヤ,18:00,2-3,H,"31,330",●,2,20,3:10,大野　雄大,ゴンザレス,阿部慎之助,右本,ゴンザレス,大野　雄大,6,0,1,6,7,1,3,3,4
09/18,火,巨,ナゴヤ,18:00,5-9,H,"29,015",●,2,21,3:47,ソト,笠原　将生,石井義人,左安,福田　聡志,ソーサ,10,1,0,5,12,1,9,9,9
09/17,月,巨,ナゴヤ,18:00,2-0,H,"37,206",○,2,22,2:47,吉見　一起,小山　雄輝,荒木雅博,左２,岩瀬　仁紀,小山　雄輝,5,0,0,9,6,0,0,0,8
09/16,日,広,マツダ,13:30,0-2,V,"31,574",○,2,21,3:00,山内　壮馬,バリントン,森野将彦,二失,山内　壮馬,バリントン,6,0,0,7,5,0,0,0,1
09/15,土,広,マツダ,14:00,0-1,V,"28,536",○,2,20,2:53,川上　憲伸,野村　祐輔,堂上直倫,遊ゴロ,川上　憲伸,野村　祐輔,8,0,0,6,3,0,0,0,6
09/14,金,広,マツダ,18:00,4-3,V,"18,684",●,2,19,3:23,岩田　慎司,前田　健太,広瀬純,右安,ミコライオ,雄太,11,0,0,9,14,1,4,4,2
09/13,木,Ｄ,横浜,18:00,6-6,V,"11,078",△,2,20,3:46,中田　賢一,高崎　健太郎,,,,,12,1,0,7,7,0,6,6,12
09/12,水,Ｄ,横浜,18:00,4-6,V,"13,288",○,2,20,3:24,ソト,藤井　秀悟,松井佑介,左２,ソト,藤井　秀悟,10,2,1,7,11,1,4,4,10
09/11,火,Ｄ,横浜,18:00,2-3,V,"10,194",○,2,19,3:21,吉見　一起,三浦　大輔,松井佑介,左安,吉見　一起,藤江　均,12,0,0,5,8,1,2,2,8
10/05,金,広,ナゴヤ,18:00,1-4,H,"27,108",●,2,22,2:39,中田　賢一,バリントン,エルドレッド,右犠飛,バリントン,中田　賢一,8,0,1,4,6,2,4,3,9
10/03,水,阪,ナゴヤ,18:00,4-1,H,"22,487",○,2,23,2:46,伊藤　準規,伊藤　和雄,,,山本昌,伊藤　和雄,9,0,3,5,2,0,1,1,5
10/01,月,Ｄ,横浜,18:00,2-6,V,"8,769",○,2,22,3:09,岩田　慎司,藤井　秀悟,平田良介,中本,田島　慎二,藤井　秀悟,12,2,1,7,7,1,2,2,6
09/30,日,Ｄ,横浜,13:00,2-13,V,"10,340",○,2,21,2:51,中田　賢一,王　溢正,ブランコ,左安,中田　賢一,王　溢正,15,2,1,3,6,0,2,2,8
09/29,土,ヤ,神宮,18:00,0-4,V,"16,592",○,2,20,3:19,川上　憲伸,ロマン,堂上剛裕,中犠飛,川上　憲伸,ロマン,9,0,0,5,9,0,0,0,3
09/27,木,Ｄ,ナゴヤ,18:00,1-2,H,"20,812",●,2,19,3:04,小川　龍也,高崎　健太郎,内村賢介,中安,高崎　健太郎,小川　龍也,6,0,0,11,5,1,2,2,9
09/26,水,Ｄ,ナゴヤ,18:00,2-8,H,"21,546",●,2,20,3:03,山内　壮馬,加賀美　希昇,内村賢介,中犠飛,加賀美　希昇,山内　壮馬,6,0,0,5,11,1,8,8,6
09/25,火,Ｄ,ナゴヤ,18:00,2-2,H,"21,333",△,2,21,3:57,岩田　慎司,三浦　大輔,,,,,9,1,0,11,9,1,2,1,12
09/23,日,阪,甲子園,14:00,5-2,V,"46,385",●,2,21,2:59,西川　健太郎,メッセンジャー,マートン,中安,メッセンジャー,平井　正史,7,0,0,8,8,1,5,4,3
09/22,土,阪,甲子園,14:00,0-2,V,"46,810",○,2,22,3:06,伊藤　準規,能見　篤史,大島洋平,中安,伊藤　準規,能見　篤史,11,0,1,10,4,0,0,0,4
09/21,金,阪,甲子園,18:00,2-3,V,"31,789",○,2,21,2:54,山本昌,岩田　稔,ブランコ,中本,武藤　祐太,岩田　稔,4,1,0,10,7,0,2,1,6
09/19,水,巨,ナゴヤ,18:00,2-3,H,"31,330",●,2,20,3:10,大野　雄大,ゴンザレス,阿部慎之助,右本,ゴンザレス,大野　雄大,6,0,1,6,7,1,3,3,4
09/18,火,巨,ナゴヤ,18:00,5-9,H,"29,015",●,2,21,3:47,ソト,笠原　将生,石井義人,左安,福田　聡志,ソーサ,10,1,0,5,12,1,9,9,9
09/17,月,巨,ナゴヤ,18:00,2-0,H,"37,206",○,2,22,2:47,吉見　一起,小山　雄輝,荒木雅博,左２,岩瀬　仁紀,小山　雄輝,5,0,0,9,6,0,0,0,8
09/16,日,広,マツダ,13:30,0-2,V,"31,574",○,2,21,3:00,山内　壮馬,バリントン,森野将彦,二失,山内　壮馬,バリントン,6,0,0,7,5,0,0,0,1
09/15,土,広,マツダ,14:00,0-1,V,"28,536",○,2,20,2:53,川上　憲伸,野村　祐輔,堂上直倫,遊ゴロ,川上　憲伸,野村　祐輔,8,0,0,6,3,0,0,0,6
09/14,金,広,マツダ,18:00,4-3,V,"18,684",●,2,19,3:23,岩田　慎司,前田　健太,広瀬純,右安,ミコライオ,雄太,11,0,0,9,14,1,4,4,2
09/13,木,Ｄ,横浜,18:00,6-6,V,"11,078",△,2,20,3:46,中田　賢一,高崎　健太郎,,,,,12,1,0,7,7,0,6,6,12
09/12,水,Ｄ,横浜,18:00,4-6,V,"13,288",○,2,20,3:24,ソト,藤井　秀悟,松井佑介,左２,ソト,藤井　秀悟,10,2,1,7,11,1,4,4,10
09/11,火,Ｄ,横浜,18:00,2-3,V,"10,194",○,2,19,3:21,吉見　一起,三浦　大輔,松井佑介,左安,吉見　一起,藤江　均,12,0,0,5,8,1,2,2,8
09/09,日,阪,ナゴヤ,14:00,0-7,H,"34,419",●,2,18,3:06,山内　壮馬,岩本　輝,マートン,中安,岩本　輝,山内　壮馬,3,0,0,7,13,1,7,5,13
09/08,土,阪,ナゴヤ,14:00,0-1,H,"37,912",●,2,19,3:15,山本昌,能見　篤史,藤井彰人,投犠野,能見　篤史,雄太,4,0,0,9,8,0,1,1,3
09/07,金,阪,ナゴヤ,18:00,1-0,H,"26,588",○,2,20,2:45,大野　雄大,スタンリッジ,森野将彦,右本,大野　雄大,スタンリッジ,3,1,0,6,4,0,0,0,8
09/06,木,広,ナゴヤ,18:00,3-0,H,"26,903",○,2,19,3:00,中田　賢一,バリントン,ブランコ,左本,中田　賢一,バリントン,7,1,0,6,5,0,0,0,5
09/05,水,広,ナゴヤ,18:00,1-2,H,"26,827",●,2,18,2:56,ソト,大竹　寛,堂林翔太,左２,大竹　寛,ソト,8,0,0,8,7,0,2,2,9
09/04,火,広,ナゴヤ,18:00,10-2,H,"26,630",○,2,19,2:47,吉見　一起,野村　祐輔,井端弘和,中安,吉見　一起,野村　祐輔,14,2,0,3,10,1,2,2,8
09/02,日,ヤ,神宮,18:00,1-0,V,"13,856",●,2,18,3:09,山内　壮馬,村中　恭兵,福地寿樹,左２,村中　恭兵,田島　慎二,6,0,0,2,8,0,1,1,2
09/01,土,ヤ,神宮,18:00,6-2,V,"22,959",●,2,19,3:17,岩田　慎司,館山　昌平,ミレッジ,左本,館山　昌平,岩田　慎司,7,0,1,6,8,1,6,6,4

08/31,金,ヤ,神宮,18:00,4-4,V,"14,534",△,2,20,3:41,大野　雄大,赤川　克紀,,,,,12,1,2,7,10,0,4,2,6
08/30,木,巨,郡山,18:00,9-3,V,"13,811",●,2,20,2:58,中田　賢一,内海　哲也,藤村大介,中３,福田　聡志,中田　賢一,12,0,0,5,10,1,9,8,5
08/29,水,巨,盛岡,18:00,2-4,V,"14,570",○,2,21,3:25,ソト,江柄子　裕樹,堂上剛裕,中２,ソト,江柄子　裕樹,6,2,0,7,10,0,2,1,9
08/28,火,巨,秋田,18:00,1-5,V,"13,181",○,2,20,3:14,吉見　一起,澤村　拓一,ブランコ,中安,吉見　一起,澤村　拓一,13,0,0,6,11,0,1,1,9
08/26,日,ヤ,ナゴヤ,14:00,0-2,H,"28,861",●,2,19,2:37,山内　壮馬,村中　恭兵,ミレッジ,左安,村中　恭兵,山内　壮馬,2,0,0,6,6,0,2,2,7
08/25,土,ヤ,ナゴヤ,14:00,0-1,H,"35,084",●,2,20,2:37,岩田　慎司,館山　昌平,川端慎吾,左犠飛,館山　昌平,岩田　慎司,6,0,0,3,2,0,1,1,7
08/24,金,ヤ,ナゴヤ,18:00,2-0,H,"27,627",○,2,21,2:53,中田　賢一,赤川　克紀,森野将彦,二ゴロ,中田　賢一,赤川　克紀,8,1,0,3,3,0,0,0,6
08/23,木,阪,倉敷,18:00,6-3,V,"28,045",●,2,20,3:32,大野　雄大,岩田　稔,俊介,中安,岩田　稔,大野　雄大,7,1,1,7,9,0,6,6,5
08/22,水,阪,京セラ,18:00,2-5,V,"25,345",○,2,21,3:18,吉見　一起,二神　一人,森野将彦,中安,吉見　一起,二神　一人,12,1,1,7,12,0,2,2,4
08/21,火,阪,京セラ,18:00,0-1,V,"29,812",○,2,20,3:05,ソト,久保　康友,平田良介,遊２,ソト,藤川　球児,8,0,0,5,5,0,0,0,6
08/19,日,Ｄ,ナゴヤ,14:00,0-2,H,"30,214",●,2,19,3:22,山内　壮馬,加賀美　希昇,内村賢介,右安,加賀美　希昇,田島　慎二,2,0,0,7,8,0,2,2,10
08/18,土,Ｄ,ナゴヤ,14:00,4-3,H,"31,581",○,2,20,3:02,岩田　慎司,国吉　佑樹,森野将彦,右本,岩田　慎司,国吉　佑樹,9,1,1,6,9,0,3,3,8
