
10/08,月,オ,ヤフー,13:00,0-3,H,"38,561",●,3,2,2:52,山田　大樹,西　勇輝,李大浩,中２,西　勇輝,山田　大樹,0,0,0,9,7,0,3,2,11
10/06,土,楽,Ｋスタ,18:00,2-1,V,"17,683",●,3,3,2:46,陽　耀勲,辛島　航,牧田明久,左本,辛島　航,陽　耀勲,3,0,1,7,6,1,2,2,5
10/05,金,オ,京セラ,18:00,3-1,V,"18,719",●,3,4,2:33,大隣　憲司,金子　千尋,李大浩,左本,金子　千尋,大隣　憲司,7,0,1,10,6,2,3,3,7
10/03,水,日,札幌ド,18:00,1-10,V,"36,314",○,3,5,3:07,武田　翔太,武田　勝,今宮健太,右２,武田　翔太,乾　真大,14,1,2,2,4,0,1,0,8
10/02,火,楽,Ｋスタ,18:00,2-0,V,"13,695",●,3,4,3:08,山田　大樹,田中　将大,聖沢諒,右犠飛,田中　将大,山田　大樹,6,0,1,5,8,0,2,1,2
09/30,日,日,ヤフー,18:00,4-1,H,"37,035",○,3,5,3:25,攝津　正,中村　勝,小久保裕紀,左本,攝津　正,中村　勝,12,2,1,6,7,1,1,1,6
09/29,土,楽,ヤフー,14:00,4-8,H,"36,060",●,3,4,4:10,大隣　憲司,辛島　航,ガルシア,中本,高堀　和也,大隣　憲司,10,1,3,9,12,1,8,5,3
09/26,水,オ,京セラ,18:00,3-0,V,"15,337",●,3,5,3:11,新垣　渚,前田　祐二,李大浩,左本,前田　祐二,新垣　渚,9,0,0,7,7,1,3,3,10
09/25,火,オ,京セラ,18:00,0-7,V,"14,062",○,3,6,2:51,武田　翔太,木佐貫　洋,今宮健太,左犠飛,武田　翔太,木佐貫　洋,14,0,0,6,4,0,0,0,7
09/24,月,楽,Ｋスタ,18:00,3-1,V,"11,601",●,3,5,3:31,攝津　正,田中　将大,松井稼頭央,左本,青山　浩二,岡島　秀樹,8,0,0,15,9,1,3,3,10
09/22,土,楽,Ｋスタ,14:00,2-4,V,"18,853",○,3,6,3:21,陽　耀勲,菊池　保則,本多雄一,右安,森福　允彦,ラズナー,12,1,1,8,3,0,2,1,6
09/21,金,楽,Ｋスタ,18:00,1-1,V,"16,234",△,3,5,3:45,大隣　憲司,辛島　航,,,,,9,0,1,6,6,1,1,1,12
09/19,水,西,ヤフー,18:00,0-2,H,"35,203",●,3,5,3:06,新垣　渚,牧田　和久,ヘルマン,右３,牧田　和久,新垣　渚,10,0,0,6,6,0,2,2,7
09/18,火,西,ヤフー,18:00,5-1,H,"34,015",○,3,6,3:46,二保　旭,菊池　雄星,今宮健太,四球,岩嵜　翔,菊池　雄星,9,1,1,4,9,0,1,1,9
09/17,月,西,ヤフー,18:00,2-1,H,"33,788",○,3,5,3:12,攝津　正,岸　孝之,多村仁志,中本,攝津　正,岸　孝之,7,1,0,6,8,0,1,1,8
09/16,日,日,札幌ド,14:00,2-5,V,"42,063",○,3,4,3:42,武田　翔太,中村　勝,長谷川勇也,右本,武田　翔太,中村　勝,10,1,2,4,7,0,2,2,7
09/15,土,日,札幌ド,15:00,4-2,V,"30,213",●,3,3,3:42,陽　耀勲,ウルフ,小谷野栄一,左２,ウルフ,陽　耀勲,9,0,0,6,11,0,4,3,8
09/14,金,日,札幌ド,18:00,1-0,V,"20,204",●,3,4,2:42,大隣　憲司,吉川　光夫,小谷野栄一,中安,吉川　光夫,大隣　憲司,2,0,1,9,8,0,1,1,7
09/13,木,楽,ヤフー,18:00,2-6,H,"33,885",●,3,5,2:58,岩嵜　翔,ダックワース,草野大輔,右本,ダックワース,岩嵜　翔,6,0,0,9,6,2,6,6,3
09/12,水,楽,ヤフー,18:00,5-3,H,"34,370",○,3,6,3:18,山田　大樹,釜田　佳直,江川智晃,右安,山田　大樹,釜田　佳直,13,0,1,6,7,0,3,3,5
09/11,火,楽,ヤフー,18:00,2-1,H,"34,663",○,3,5,3:09,攝津　正,美馬　学,本多雄一,左安,攝津　正,美馬　学,9,1,1,11,6,0,1,1,5
09/09,日,ロ,ヤフー,13:00,3-0,H,"35,170",○,3,4,2:52,武田　翔太,藤岡　貴裕,ペーニャ,左本,武田　翔太,藤岡　貴裕,7,1,0,5,7,0,0,0,8
09/08,土,ロ,ヤフー,18:00,3-1,H,"33,145",○,3,3,3:13,陽　耀勲,マシス,明石健志,左３,陽　耀勲,マシス,10,0,1,6,7,0,1,1,11
09/07,金,ロ,ヤフー,18:00,4-1,H,"31,492",○,3,2,3:08,新垣　渚,成瀬　善久,江川智晃,左本,新垣　渚,成瀬　善久,11,1,0,6,4,0,1,1,6
09/06,木,西,西武ド,18:00,9-2,V,"14,154",●,3,1,3:20,大隣　憲司,牧田　和久,浅村栄斗,左３,牧田　和久,大隣　憲司,5,0,1,7,14,1,9,3,5
09/05,水,西,西武ド,18:00,2-1,V,"13,959",●,3,2,2:36,山田　大樹,菊池　雄星,秋山翔吾,右本,岡本　篤志,柳瀬　明宏,7,0,0,5,7,2,2,2,4
09/04,火,西,西武ド,18:00,3-5,V,"13,318",○,3,3,3:08,攝津　正,岸　孝之,明石健志,左安,攝津　正,長田　秀一郎,11,1,0,4,5,1,3,3,11
09/02,日,日,ヤフー,13:00,1-2,H,"35,223",●,3,2,3:27,武田　翔太,中村　勝,中田翔,左本,中村　勝,武田　翔太,6,0,2,8,7,1,2,2,9
09/01,土,日,ヤフー,14:00,1-3,H,"35,461",●,3,3,3:51,陽　耀勲,谷元　圭介,小谷野栄一,左本,宮西　尚生,森福　允彦,7,0,1,14,5,1,3,2,11

08/31,金,日,ヤフー,18:00,1-1,H,"37,237",△,3,4,3:38,大隣　憲司,吉川　光夫,,,,,9,0,0,12,4,0,1,1,9
08/30,木,オ,ヤフー,18:00,1-4,H,"36,023",●,4,4,3:29,山田　大樹,マクレーン,梶本勇介,右安,岸田　護,岡島　秀樹,7,0,2,8,12,0,4,4,4
08/28,火,オ,ヤフー,18:00,1-0,H,"35,344",○,3,5,2:41,攝津　正,木佐貫　洋,小久保裕紀,中安,攝津　正,木佐貫　洋,8,0,0,8,2,0,0,0,8
08/26,日,ロ,ＱＶＣ,17:00,3-3,V,"20,842",△,3,4,3:58,吉川　輝昭,藤岡　貴裕,,,,,9,0,2,8,6,0,3,3,7
08/25,土,ロ,ＱＶＣ,18:00,4-1,V,"26,936",●,3,4,2:57,陽　耀勲,マシス,井口資仁,右安,マシス,陽　耀勲,5,1,1,11,6,1,4,3,5
08/24,金,ロ,ＱＶＣ,18:15,1-10,V,"18,399",○,3,5,2:59,大隣　憲司,成瀬　善久,本多雄一,中安,大隣　憲司,成瀬　善久,10,1,2,5,7,0,1,1,7
08/23,木,西,大宮,18:00,5-2,V,"20,420",●,3,4,3:01,ドイル,牧田　和久,中村剛也,左本,牧田　和久,ドイル,8,0,0,10,10,2,5,3,4
08/22,水,西,西武ド,18:00,2-8,V,"17,972",○,3,5,3:13,山田　大樹,菊池　雄星,,,山田　大樹,菊池　雄星,11,2,0,9,7,1,2,2,3
08/21,火,西,西武ド,18:00,0-4,V,"17,677",○,3,4,2:55,攝津　正,岸　孝之,小久保裕紀,左安,攝津　正,岸　孝之,7,0,0,10,4,0,0,0,6
08/19,日,オ,京セラ,13:00,8-10,V,"25,752",○,3,3,4:18,武田　翔太,マエストリ,高谷裕亮,中安,武田　翔太,マエストリ,17,1,1,7,15,1,8,8,10
