
10/07,日,広,神宮,18:00,0-1,H,"27,556",●,3,3,3:03,七條　祐樹,野村　祐輔,天谷宗一郎,右安,横山　竜士,増渕　竜義,8,0,0,3,8,0,1,1,5
10/06,土,広,神宮,18:00,2-4,H,"18,539",●,3,4,3:04,ロマン,今井　啓介,堂林翔太,左本,今井　啓介,押本　健彦,8,0,1,6,9,2,4,3,10
10/05,金,阪,甲子園,18:00,0-2,V,"46,820",○,3,5,2:49,石川　雅規,岩本　輝,,,石川　雅規,岩本　輝,6,0,1,5,3,0,0,0,11
10/04,木,広,マツダ,18:00,0-4,V,"20,694",○,3,4,3:01,村中　恭兵,大竹　寛,中村悠平,遊安,村中　恭兵,大竹　寛,9,0,1,7,8,0,0,0,7
10/03,水,Ｄ,横浜,18:00,7-4,V,"8,183",●,3,3,3:16,赤川　克紀,高崎　健太郎,井手正太郎,左本,高崎　健太郎,赤川　克紀,9,0,0,3,5,1,7,6,2
10/02,火,Ｄ,横浜,18:00,2-6,V,"9,668",○,3,4,3:25,中澤　雅人,三浦　大輔,中村悠平,右安,中澤　雅人,三浦　大輔,10,1,2,6,7,0,2,2,7
10/01,月,巨,神宮,18:00,5-0,H,"10,018",○,3,3,2:45,八木　亮祐,ホールトン,雄平,三ゴロ,八木　亮祐,ホールトン,11,0,1,4,9,0,0,0,6
09/29,土,中,神宮,18:00,0-4,H,"16,592",●,3,2,3:19,ロマン,川上　憲伸,堂上剛裕,中犠飛,川上　憲伸,ロマン,9,0,0,3,9,0,4,4,5
09/28,金,阪,神宮,18:00,6-3,H,"20,628",○,3,3,2:59,石川　雅規,岩田　稔,バレンティン,右本,日高　亮,岩田　稔,12,1,0,5,14,0,3,3,8
09/27,木,阪,神宮,18:00,0-12,H,"15,863",●,3,2,3:13,村中　恭兵,岩本　輝,マートン,左本,岩本　輝,村中　恭兵,7,0,1,6,11,2,12,8,8
09/26,水,阪,神宮,18:00,10-4,H,"18,953",○,3,3,3:20,赤川　克紀,スタンリッジ,バレンティン,左安,赤川　克紀,スタンリッジ,18,0,0,5,8,2,4,4,7
09/25,火,阪,神宮,18:00,3-0,H,"15,591",○,3,2,3:15,館山　昌平,久保　康友,宮本慎也,右２,館山　昌平,久保　康友,9,0,3,8,5,0,0,0,4
09/23,日,巨,東京ド,14:00,2-0,V,"44,044",●,3,1,3:00,ロマン,ホールトン,石井義人,四球,ホールトン,ロマン,6,0,1,4,7,1,2,2,4
09/22,土,巨,東京ド,14:00,3-9,V,"45,218",○,3,2,3:28,石川　雅規,杉内　俊哉,田中浩康,左２,石川　雅規,杉内　俊哉,12,0,0,4,15,0,3,2,2
09/21,金,巨,東京ド,18:00,6-4,V,"46,290",●,3,1,3:09,村中　恭兵,内海　哲也,長野久義,左安,内海　哲也,増渕　竜義,10,1,0,4,6,1,6,6,3
09/19,水,広,マツダ,18:00,1-3,V,"20,624",○,3,2,3:16,赤川　克紀,中﨑　翔太,田中浩康,遊ゴロ,赤川　克紀,中﨑　翔太,10,0,0,6,3,1,1,1,6
09/18,火,広,マツダ,18:00,1-2,V,"18,814",○,3,1,3:15,館山　昌平,今井　啓介,バレンティン,中本,館山　昌平,今井　啓介,12,1,0,10,6,0,1,1,13
09/17,月,広,マツダ,18:00,4-5,V,"23,971",○,3,0,3:25,ロマン,大竹　寛,田中浩康,右安,押本　健彦,ミコライオ,13,1,0,1,8,0,4,4,5
09/16,日,Ｄ,神宮,18:00,2-1,H,"19,622",○,3,-1,3:29,七條　祐樹,加賀美　希昇,雄平,遊安,七條　祐樹,篠原　貴行,7,0,1,3,5,0,1,1,5
09/15,土,Ｄ,神宮,18:00,6-3,H,"18,624",○,3,-2,3:32,石川　雅規,王　溢正,森岡良介,中３,山本　哲哉,藤江　均,8,1,1,3,7,0,3,3,10
09/14,金,Ｄ,神宮,18:00,6-2,H,"13,085",○,3,-3,3:01,村中　恭兵,国吉　佑樹,村中恭兵,中３,村中　恭兵,国吉　佑樹,13,2,0,5,10,2,2,2,6
09/13,木,阪,甲子園,18:00,4-1,V,"25,521",●,3,-4,3:24,赤川　克紀,スタンリッジ,平野恵一,二ゴロ,スタンリッジ,赤川　克紀,10,0,1,3,10,0,4,4,7
09/12,水,阪,甲子園,18:00,1-2,V,"27,754",○,3,-3,3:18,館山　昌平,久保　康友,川端慎吾,右安,館山　昌平,久保　康友,12,0,0,5,5,0,1,1,9
09/11,火,阪,甲子園,18:00,0-2,V,"28,141",○,4,-4,3:04,ロマン,メッセンジャー,川端慎吾,左安,ロマン,メッセンジャー,4,0,0,5,8,0,0,0,5
09/09,日,巨,新潟,15:00,4-4,H,"17,966",△,4,-5,3:35,石川　雅規,宮國　椋丞,,,,,7,1,1,11,9,0,4,4,7
09/08,土,巨,新潟,18:00,2-5,H,"24,863",●,4,-5,4:20,村中　恭兵,ホールトン,阿部慎之助,中２,ホールトン,村中　恭兵,6,0,0,9,15,0,5,5,4
09/07,金,巨,神宮,18:00,2-8,H,"23,139",●,4,-4,3:51,赤川　克紀,杉内　俊哉,藤村大介,左安,杉内　俊哉,赤川　克紀,8,1,0,8,16,0,8,7,6
09/06,木,Ｄ,横浜,18:00,1-3,V,"6,303",○,4,-3,3:20,八木　亮祐,高崎　健太郎,バレンティン,左本,日高　亮,高崎　健太郎,9,1,1,6,3,0,1,0,6
09/05,水,Ｄ,横浜,18:00,1-3,V,"10,587",○,4,-4,2:57,ロマン,藤井　秀悟,宮本慎也,左安,ロマン,藤井　秀悟,6,0,0,3,5,0,1,1,8
09/04,火,Ｄ,横浜,18:00,2-1,V,"9,351",●,4,-5,2:34,石川　雅規,三浦　大輔,筒香嘉智,右２,三浦　大輔,石川　雅規,6,0,1,3,6,0,2,2,7
09/02,日,中,神宮,18:00,1-0,H,"13,856",○,4,-4,3:09,村中　恭兵,山内　壮馬,福地寿樹,左２,村中　恭兵,田島　慎二,8,0,0,2,6,0,0,0,2
