
10/06,日,ヤ,マツダ,14:00,4-5,H,"19,625",●,3,-3,3:03,前田　健太,村中　恭兵,ユウイチ,中安,村中　恭兵,前田　健太,9,0,1,5,10,1,5,4,5
10/03,木,中,マツダ,18:00,3-5,H,"32,217",●,3,-2,3:07,福井　優也,小川　龍也,堂上直倫,左犠飛,雄太,福井　優也,4,1,0,3,11,1,5,4,3
10/02,水,阪,マツダ,18:00,7-2,H,"30,070",○,3,-1,3:19,野村　祐輔,スタンリッジ,木村昇吾,右本,野村　祐輔,スタンリッジ,11,1,0,8,10,0,2,2,9

09/29,日,巨,東京ド,14:00,0-4,V,"44,265",○,3,-2,3:07,大竹　寛,小山　雄輝,キラ,中安,大竹　寛,小山　雄輝,10,0,1,7,8,0,0,0,5
09/28,土,ヤ,神宮,18:00,2-2,V,"29,383",△,3,-3,3:47,久本　祐一,木谷　良平,,,,,10,0,0,11,5,1,2,2,7
09/26,木,中,ナゴヤ,18:00,5-1,V,"21,018",●,3,-3,3:05,前田　健太,大野　雄大,高橋周平,中２,大野　雄大,前田　健太,8,0,1,8,11,0,5,5,5
09/25,水,中,ナゴヤ,18:00,0-2,V,"20,986",○,3,-2,2:41,バリントン,岡田　俊哉,エルドレッド,左本,バリントン,浅尾　拓也,5,1,0,8,5,0,0,0,3
09/24,火,中,ナゴヤ,18:00,3-5,V,"20,057",○,3,-3,2:50,野村　祐輔,川上　憲伸,菊池涼介,中安,野村　祐輔,浅尾　拓也,10,1,0,4,7,0,3,3,9
09/23,月,巨,東京ド,14:00,4-3,V,"46,048",●,3,-4,3:15,大竹　寛,今村　信貴,ロペス,左安,今村　信貴,大竹　寛,8,1,0,12,12,0,4,4,5
09/22,日,巨,東京ド,18:00,2-1,V,"46,246",●,3,-3,3:02,久本　祐一,菅野　智之,長野久義,右２,菅野　智之,今村　猛,3,0,1,9,6,0,2,2,5
09/21,土,巨,東京ド,18:00,4-7,V,"46,176",○,3,-2,2:43,前田　健太,杉内　俊哉,キラ,左安,前田　健太,杉内　俊哉,7,3,0,9,8,1,4,4,8
09/19,木,阪,マツダ,18:00,3-1,H,"24,844",○,3,-3,2:52,バリントン,スタンリッジ,岩本貴裕,右安,バリントン,スタンリッジ,8,0,2,6,5,1,1,1,5
09/18,水,阪,マツダ,18:00,1-9,H,"25,031",●,3,-4,2:48,野村　祐輔,能見　篤史,新井貴浩,左２,能見　篤史,野村　祐輔,4,1,0,8,13,1,9,7,8
09/17,火,阪,マツダ,18:00,2-1,H,"21,787",○,3,-3,3:09,大竹　寛,メッセンジャー,石原慶幸,左本,大竹　寛,久保　康友,6,1,0,10,4,0,1,1,6
09/16,月,巨,マツダ,13:30,5-4,H,"32,053",○,3,-4,3:43,中村　恭平,今村　信貴,,,横山　竜士,山口　鉄也,10,0,0,5,7,1,4,2,4
09/15,日,巨,マツダ,13:30,10-0,H,"32,068",○,3,-5,2:49,前田　健太,菅野　智之,前田健太,中安,前田　健太,菅野　智之,15,0,0,7,3,0,0,0,5
09/14,土,巨,マツダ,13:30,4-2,H,"32,047",○,3,-6,2:50,バリントン,杉内　俊哉,キラ,右本,バリントン,杉内　俊哉,5,1,0,9,9,1,2,2,8
09/12,木,ヤ,神宮,18:00,6-12,V,"25,617",○,3,-7,3:07,野村　祐輔,徳山　武陽,キラ,右本,野村　祐輔,徳山　武陽,13,4,0,5,6,2,6,6,5
09/11,水,ヤ,神宮,18:00,2-6,V,"19,482",○,3,-8,2:53,大竹　寛,石川　雅規,上本崇司,中安,大竹　寛,石川　雅規,8,1,0,5,6,1,2,2,3
09/10,火,ヤ,神宮,18:00,3-9,V,"17,883",○,3,-9,3:24,前田　健太,松岡　健一,木村昇吾,右安,前田　健太,松岡　健一,9,3,1,9,13,1,3,3,7
