
10/03,土,巨,横浜,14:00,5-7,H,"24,178",●,6,-18,3:15,三浦　大輔,大竹　寛,亀井善行,左安,高木　京介,三浦　大輔,10,3,0,5,12,0,7,6,4
10/02,金,巨,横浜,18:00,1-4,H,"27,100",●,6,-17,3:19,髙橋　尚成,マイコラス,亀井善行,投安,マイコラス,石田　健大,4,1,0,7,10,0,4,4,8
09/29,火,阪,甲子園,18:00,4-3,V,"41,951",●,6,-16,3:20,山口　俊,メッセンジャー,,,歳内　宏明,三上　朋也,7,0,1,9,9,0,4,3,10
09/28,月,広,横浜,18:00,3-8,H,"24,871",●,5,-15,2:57,砂田　毅樹,黒田　博樹,田中広輔,右本,黒田　博樹,砂田　毅樹,5,1,1,5,13,2,8,7,4
09/26,土,中,横浜,14:00,3-2,H,"28,247",○,5,-14,2:55,井納　翔一,若松　駿太,バルディリス,左本,須田　幸太,浅尾　拓也,7,2,0,3,8,1,2,2,2
09/24,木,ヤ,神宮,18:00,4-2,V,"15,886",●,6,-15,3:11,石田　健大,小川　泰弘,山田哲人,左本,小川　泰弘,石田　健大,5,1,0,12,10,2,4,4,8
09/23,水,中,横浜,13:00,1-4,H,"27,838",●,5,-14,2:44,高崎　健太郎,ネイラー,桂依央利,右３,ネイラー,高崎　健太郎,5,0,0,9,9,0,4,4,4
09/22,火,中,横浜,17:00,10-6,H,"28,932",○,5,-13,3:15,三浦　大輔,大野　雄大,山崎憲晴,左２,三浦　大輔,大野　雄大,15,2,1,7,12,1,6,6,7
09/21,月,広,マツダ,13:30,3-2,V,"31,594",●,5,-14,3:14,山口　俊,ジョンソン,菊池涼介,左安,ジョンソン,山口　俊,5,0,1,10,7,0,3,1,10
09/20,日,広,マツダ,18:00,4-6,V,"31,587",○,5,-13,3:52,砂田　毅樹,福井　優也,バルディリス,遊ゴロ,長田　秀一郎,大瀬良　大地,13,0,0,11,11,0,4,4,8
09/19,土,阪,横浜,13:30,7-5,H,"28,962",○,5,-14,3:53,井納　翔一,能見　篤史,筒香嘉智,右本,井納　翔一,能見　篤史,13,2,0,5,11,2,5,5,6
09/18,金,阪,横浜,18:00,3-2,H,"27,496",○,5,-15,3:29,石田　健大,メッセンジャー,,,三上　朋也,福原　忍,6,0,0,7,8,0,2,2,10
09/16,水,ヤ,神宮,18:00,9-1,V,"13,922",●,5,-16,2:42,ビロウ,石川　雅規,畠山和洋,三ゴロ,石川　雅規,ビロウ,5,0,0,4,6,2,9,9,7
09/15,火,ヤ,神宮,18:00,2-1,V,"19,936",●,5,-15,2:45,三浦　大輔,館山　昌平,中村悠平,中安,バーネット,岡島　秀樹,4,0,0,7,6,0,2,2,5
