
10/01,木,オ,京セラ,18:00,4-1,V,"16,898",●,4,0,2:57,岡本　洋介,バリントン,Ｔ－岡田,右犠飛,バリントン,岡本　洋介,4,0,0,10,12,1,4,3,6

09/30,水,オ,京セラ,18:00,5-16,V,"14,983",○,3,1,4:30,野上　亮磨,東明　大貴,,,牧田　和久,東明　大貴,21,1,0,14,13,0,5,5,1
09/28,月,ロ,西武プ,18:00,2-4,H,"32,988",●,3,0,3:09,菊池　雄星,石川　歩,デスパイネ,右本,石川　歩,菊池　雄星,4,1,0,7,6,1,4,4,4
09/27,日,楽,西武プ,13:00,5-1,H,"23,013",○,3,1,2:56,十亀　剣,森　雄大,炭谷銀仁朗,左本,十亀　剣,森　雄大,7,1,0,7,5,1,1,1,6
09/26,土,楽,西武プ,14:00,5-1,H,"21,032",○,3,0,2:40,髙橋　光成,則本　昂大,浅村栄斗,左本,牧田　和久,青山　浩二,10,2,0,6,4,0,1,1,6
09/23,水,オ,西武プ,13:00,8-4,H,"24,076",○,3,-1,3:11,野上　亮磨,東明　大貴,炭谷銀仁朗,左２,牧田　和久,東明　大貴,9,2,0,5,8,0,4,4,5
09/22,火,オ,西武プ,13:00,5-2,H,"28,017",○,3,-2,3:15,菊池　雄星,山田　修義,メヒア,左安,菊池　雄星,山田　修義,9,1,2,7,5,0,2,0,7
09/21,月,オ,西武プ,14:00,7-0,H,"30,167",○,3,-3,3:25,十亀　剣,近藤　一樹,渡辺直人,中安,十亀　剣,近藤　一樹,13,0,0,6,7,0,0,0,2
09/20,日,日,札幌ド,14:00,9-7,V,"32,480",●,3,-4,3:31,岸　孝之,メンドーサ,レアード,左本,谷元　圭介,武隈　祥太,6,1,0,8,9,1,9,9,8
09/19,土,日,札幌ド,18:00,6-1,V,"30,563",●,3,-3,3:07,牧田　和久,大谷　翔平,中田翔,右２,大谷　翔平,牧田　和久,2,0,0,11,14,1,6,6,5
09/17,木,ソ,ヤフオ,18:00,5-3,V,"38,500",●,3,-2,3:37,髙橋　光成,武田　翔太,内川聖一,中安,武田　翔太,髙橋　光成,8,0,0,9,8,2,5,4,3
09/14,月,楽,コボス,18:00,3-0,V,"15,032",●,3,-1,3:03,岸　孝之,則本　昂大,ウィーラー,左本,則本　昂大,岸　孝之,4,0,1,15,3,1,3,3,2
09/13,日,ロ,西武プ,13:00,4-5,H,"32,730",●,3,0,3:35,菊池　雄星,涌井　秀章,荻野貴司,投犠野,涌井　秀章,菊池　雄星,10,0,0,7,5,0,5,4,8
09/12,土,日,西武プ,13:00,9-8,H,"32,724",○,3,1,4:54,十亀　剣,中村　勝,中村剛也,左本,田中　靖洋,宮西　尚生,12,3,0,9,17,1,8,8,8
09/09,水,オ,西武プ,18:00,0-4,H,"13,556",●,3,0,2:46,牧田　和久,東明　大貴,Ｔ－岡田,右安,東明　大貴,牧田　和久,2,0,0,7,4,0,4,4,5
09/08,火,オ,西武プ,18:00,3-1,H,"16,207",○,3,1,2:59,岸　孝之,ディクソン,メヒア,中本,岸　孝之,平野　佳寿,6,1,0,4,5,1,1,1,10
09/06,日,ロ,ＱＶＣ,17:00,3-9,V,"25,196",○,3,0,3:59,髙橋　光成,大嶺　祐太,炭谷銀仁朗,左本,髙橋　光成,大嶺　祐太,16,2,0,7,8,0,3,3,1
09/05,土,ロ,ＱＶＣ,17:00,0-6,V,"27,091",○,3,-1,3:13,菊池　雄星,古谷　拓哉,中村剛也,左安,菊池　雄星,古谷　拓哉,14,1,0,7,6,0,0,0,4
