
10/10,火,ロ,Kob,13:00,5-0,H,"20,379",○,3,14,2:38,岸 孝之,成田 翔,藤田一也,投犠打,森 雄大,成田 翔,8,0,0,4,4,0,0,0,11
10/09,月,日,Kob,14:00,1-3,H,"26,510",●,3,13,3:09,美馬 学,有原 航平,,,有原 航平,美馬 学,9,0,0,4,7,0,3,1,7
10/08,日,ソ,Kob,18:00,2-0,H,"26,066",○,3,14,3:00,則本 昂大,武田 翔太,藤田一也,右本,則本 昂大,武田 翔太,7,1,0,11,7,0,0,0,9
10/07,土,オ,京セラ,18:00,0-7,V,"27,462",○,3,13,3:46,藤平 尚真,山岡 泰輔,足立祐一,右３,藤平 尚真,山岡 泰輔,13,0,0,11,2,0,0,0,8
10/05,木,ロ,ＺＯＺ,18:15,3-2,V,"20,278",●,3,12,2:43,古川 侑利,佐々木 千隼,井上晴哉,遊安,関谷 亮太,古川 侑利,6,0,1,4,7,0,3,3,4
10/04,水,ロ,ＺＯＺ,18:15,1-1,V,"16,843",△,3,13,4:39,岸 孝之,二木 康太,,,,,11,0,1,12,10,0,1,1,14
10/03,火,西,メット,18:00,10-3,V,"21,611",●,3,13,3:18,美馬 学,菊池 雄星,山川穂高,右本,菊池 雄星,美馬 学,6,0,0,10,16,4,10,10,5
10/02,月,西,メット,18:00,1-2,V,"19,631",○,3,14,3:26,則本 昂大,十亀 剣,ウィーラー,左本,則本 昂大,十亀 剣,8,1,0,7,7,0,1,1,13
10/01,日,ロ,Kob,14:00,2-5,H,"26,430",●,3,13,3:32,辛島 航,酒居 知史,大嶺翔太,中２,チェン・グァンユウ,松井 裕樹,5,0,0,8,7,1,5,5,7

09/30,土,ロ,Kob,18:00,3-4,H,"25,815",●,3,14,3:26,塩見 貴洋,西野 勇士,ペーニャ,右犠飛,西野 勇士,塩見 貴洋,9,0,2,8,8,2,4,4,8
09/29,金,日,札幌ド,18:00,0-3,V,"24,098",○,3,15,3:52,藤平 尚真,堀 瑞輝,アマダー,左本,青山 浩二,堀 瑞輝,9,2,1,6,9,0,0,0,12
09/28,木,日,札幌ド,18:00,4-3,V,"17,868",●,3,14,3:19,岸 孝之,加藤 貴之,西川遥輝,二安,増井 浩俊,松井 裕樹,10,0,1,7,11,2,4,4,10
09/25,月,ソ,ヤフオ,18:00,2-10,V,"32,444",○,3,15,2:58,美馬 学,千賀 滉大,銀次,中２,美馬 学,千賀 滉大,10,1,0,10,8,1,2,2,8
09/24,日,ソ,ヤフオ,14:00,4-3,V,"38,585",●,3,14,2:49,則本 昂大,攝津 正,福田秀平,中２,岩嵜 翔,則本 昂大,5,1,0,9,5,1,4,1,9
09/23,土,ソ,ヤフオ,18:00,1-3,V,"38,585",○,3,15,3:45,塩見 貴洋,東浜 巨,ウィーラー,左本,塩見 貴洋,東浜 巨,9,1,0,9,5,0,1,1,9
09/21,木,オ,Kob,18:00,4-7,H,"23,460",●,3,14,3:43,岸 孝之,ディクソン,吉田正尚,右本,ヘルメン,岸 孝之,7,1,0,11,8,3,7,7,10
09/20,水,オ,Kob,18:00,4-8,H,"22,907",●,3,15,3:24,藤平 尚真,金子 千尋,安達了一,左安,金子 千尋,藤平 尚真,11,3,0,10,10,2,8,7,10
09/19,火,日,Kob,18:00,6-0,H,"23,631",○,3,16,3:06,美馬 学,上原 健太,アマダー,左本,美馬 学,上原 健太,13,2,0,6,3,0,0,0,7
09/18,月,ロ,Kob,13:00,4-3,H,"24,828",○,3,15,2:57,則本 昂大,石川 歩,銀次,死球,則本 昂大,石川 歩,7,0,0,5,8,0,3,3,8
09/16,土,ロ,Kob,14:00,13-5,H,"25,181",○,3,14,3:40,辛島 航,涌井 秀章,アマダー,左本,西宮 悠介,涌井 秀章,12,2,0,4,11,2,5,4,5
10/10,火,ロ,Kob,13:00,5-0,H,"20,379",○,3,14,2:38,岸 孝之,成田 翔,藤田一也,投犠打,森 雄大,成田 翔,8,0,0,4,4,0,0,0,11
10/09,月,日,Kob,14:00,1-3,H,"26,510",●,3,13,3:09,美馬 学,有原 航平,,,有原 航平,美馬 学,9,0,0,4,7,0,3,1,7
10/08,日,ソ,Kob,18:00,2-0,H,"26,066",○,3,14,3:00,則本 昂大,武田 翔太,藤田一也,右本,則本 昂大,武田 翔太,7,1,0,11,7,0,0,0,9
10/07,土,オ,京セラ,18:00,0-7,V,"27,462",○,3,13,3:46,藤平 尚真,山岡 泰輔,足立祐一,右３,藤平 尚真,山岡 泰輔,13,0,0,11,2,0,0,0,8
10/05,木,ロ,ＺＯＺ,18:15,3-2,V,"20,278",●,3,12,2:43,古川 侑利,佐々木 千隼,井上晴哉,遊安,関谷 亮太,古川 侑利,6,0,1,4,7,0,3,3,4
10/04,水,ロ,ＺＯＺ,18:15,1-1,V,"16,843",△,3,13,4:39,岸 孝之,二木 康太,,,,,11,0,1,12,10,0,1,1,14
10/03,火,西,メット,18:00,10-3,V,"21,611",●,3,13,3:18,美馬 学,菊池 雄星,山川穂高,右本,菊池 雄星,美馬 学,6,0,0,10,16,4,10,10,5
10/02,月,西,メット,18:00,1-2,V,"19,631",○,3,14,3:26,則本 昂大,十亀 剣,ウィーラー,左本,則本 昂大,十亀 剣,8,1,0,7,7,0,1,1,13
10/01,日,ロ,Kob,14:00,2-5,H,"26,430",●,3,13,3:32,辛島 航,酒居 知史,大嶺翔太,中２,チェン・グァンユウ,松井 裕樹,5,0,0,8,7,1,5,5,7
09/30,土,ロ,Kob,18:00,3-4,H,"25,815",●,3,14,3:26,塩見 貴洋,西野 勇士,ペーニャ,右犠飛,西野 勇士,塩見 貴洋,9,0,2,8,8,2,4,4,8
09/29,金,日,札幌ド,18:00,0-3,V,"24,098",○,3,15,3:52,藤平 尚真,堀 瑞輝,アマダー,左本,青山 浩二,堀 瑞輝,9,2,1,6,9,0,0,0,12
09/28,木,日,札幌ド,18:00,4-3,V,"17,868",●,3,14,3:19,岸 孝之,加藤 貴之,西川遥輝,二安,増井 浩俊,松井 裕樹,10,0,1,7,11,2,4,4,10
09/25,月,ソ,ヤフオ,18:00,2-10,V,"32,444",○,3,15,2:58,美馬 学,千賀 滉大,銀次,中２,美馬 学,千賀 滉大,10,1,0,10,8,1,2,2,8
09/24,日,ソ,ヤフオ,14:00,4-3,V,"38,585",●,3,14,2:49,則本 昂大,攝津 正,福田秀平,中２,岩嵜 翔,則本 昂大,5,1,0,9,5,1,4,1,9
09/23,土,ソ,ヤフオ,18:00,1-3,V,"38,585",○,3,15,3:45,塩見 貴洋,東浜 巨,ウィーラー,左本,塩見 貴洋,東浜 巨,9,1,0,9,5,0,1,1,9
09/21,木,オ,Kob,18:00,4-7,H,"23,460",●,3,14,3:43,岸 孝之,ディクソン,吉田正尚,右本,ヘルメン,岸 孝之,7,1,0,11,8,3,7,7,10
09/20,水,オ,Kob,18:00,4-8,H,"22,907",●,3,15,3:24,藤平 尚真,金子 千尋,安達了一,左安,金子 千尋,藤平 尚真,11,3,0,10,10,2,8,7,10
09/19,火,日,Kob,18:00,6-0,H,"23,631",○,3,16,3:06,美馬 学,上原 健太,アマダー,左本,美馬 学,上原 健太,13,2,0,6,3,0,0,0,7
09/18,月,ロ,Kob,13:00,4-3,H,"24,828",○,3,15,2:57,則本 昂大,石川 歩,銀次,死球,則本 昂大,石川 歩,7,0,0,5,8,0,3,3,8
09/16,土,ロ,Kob,14:00,13-5,H,"25,181",○,3,14,3:40,辛島 航,涌井 秀章,アマダー,左本,西宮 悠介,涌井 秀章,12,2,0,4,11,2,5,4,5
09/14,木,西,Kob,18:00,1-2,H,"21,514",●,3,13,3:12,岸 孝之,菊池 雄星,浅村栄斗,中安,菊池 雄星,岸 孝之,5,0,0,11,6,0,2,2,4
09/13,水,西,Kob,18:00,3-7,H,"26,451",●,3,14,3:47,藤平 尚真,十亀 剣,中村剛也,左本,十亀 剣,藤平 尚真,7,1,0,6,11,1,7,6,10
