
10/03,火,ヤ,神宮,18:00,6-10,V,"30,517",○,4,4,3:14,中川 皓太,ギルメット,山本泰寛,左本,戸根 千明,秋吉 亮,15,4,1,7,11,0,6,5,5
10/01,日,阪,東京ド,14:00,4-5,H,"46,809",●,4,3,2:58,田口 麗斗,岩田 稔,糸井嘉男,左安,岩田 稔,田口 麗斗,8,1,0,5,8,2,5,5,7

09/30,土,阪,東京ド,18:00,1-5,H,"46,023",●,4,4,3:10,畠 世周,岩貞 祐太,福留孝介,二ゴロ,岩貞 祐太,畠 世周,5,1,0,10,9,1,5,5,9
09/27,水,中,東京ド,18:00,2-1,H,"45,053",○,4,5,2:33,マイコラス,小笠原 慎之介,村田修一,中本,マイコラス,小笠原 慎之介,7,1,0,9,6,1,1,1,10
09/26,火,ヤ,東京ド,18:00,3-0,H,"45,653",○,4,4,3:12,菅野 智之,岩橋 慶侍,中井大介,中安,菅野 智之,岩橋 慶侍,9,2,0,4,6,0,0,0,9
09/25,月,ヤ,神宮,18:00,5-6,V,"23,464",○,4,3,3:35,吉川 光夫,ギルメット,マギー,右安,マシソン,秋吉 亮,13,1,0,6,7,0,5,5,6
09/24,日,ヤ,神宮,18:00,3-5,V,"26,089",○,4,2,3:14,田口 麗斗,ブキャナン,村田修一,右安,田口 麗斗,ブキャナン,7,0,0,8,11,1,3,3,12
09/23,土,広,マツダ,13:30,3-2,V,"31,808",●,4,1,2:38,畠 世周,薮田 和樹,松山竜平,右安,薮田 和樹,畠 世周,9,1,0,5,3,1,3,1,6
09/22,金,広,マツダ,18:00,5-0,V,"31,390",●,4,2,2:34,マイコラス,中村 祐太,,,中村 祐太,マイコラス,3,0,1,7,9,0,5,5,5
09/20,水,阪,甲子園,18:00,0-2,V,"46,035",○,4,3,2:39,菅野 智之,秋山 拓巳,マギー,左本,菅野 智之,秋山 拓巳,7,1,0,5,2,0,0,0,6
09/19,火,中,ナゴヤ,18:00,10-2,V,"24,326",●,4,2,2:46,吉川 光夫,小笠原 慎之介,松井佑介,左本,小笠原 慎之介,吉川 光夫,7,1,0,6,12,3,10,10,7
09/18,月,中,ナゴヤ,14:00,2-0,V,"34,651",●,3,3,2:14,田口 麗斗,笠原 祥太郎,藤井淳志,右本,笠原 祥太郎,マシソン,2,0,0,2,7,1,2,2,6
09/17,日,Ｄ,東京ド,14:00,6-1,H,"46,706",○,3,4,2:54,畠 世周,濵口 遥大,村田修一,中２,畠 世周,濵口 遥大,9,0,0,8,5,0,1,1,7
09/16,土,Ｄ,東京ド,18:00,0-1,H,"45,383",●,3,3,2:52,マイコラス,井納 翔一,梶谷隆幸,右本,井納 翔一,マイコラス,6,0,0,7,5,1,1,1,8
09/14,木,阪,甲子園,18:00,2-2,V,"44,352",△,3,4,4:03,菅野 智之,秋山 拓巳,,,,,10,0,0,8,9,0,2,2,12
09/13,水,阪,甲子園,18:00,2-7,V,"43,955",○,3,4,3:21,吉川 光夫,岩田 稔,小林誠司,左安,吉川 光夫,岩田 稔,15,1,0,9,11,1,2,2,4
09/12,火,阪,甲子園,18:00,5-5,V,"42,715",△,4,3,4:24,田口 麗斗,藤浪 晋太郎,,,,,11,1,1,11,12,0,5,5,12
09/10,日,ヤ,東京ド,14:00,6-1,H,"44,141",○,4,3,2:55,マイコラス,成瀬 善久,長野久義,一ゴロ,マイコラス,成瀬 善久,13,0,0,6,4,0,1,1,9
09/09,土,ヤ,東京ド,14:00,0-4,H,"43,966",●,4,2,3:01,畠 世周,小川 泰弘,山田哲人,中本,小川 泰弘,畠 世周,6,0,0,7,5,2,4,4,5
09/08,金,ヤ,東京ド,18:00,4-1,H,"44,046",○,4,3,2:35,菅野 智之,岩橋 慶侍,マギー,左２,菅野 智之,岩橋 慶侍,5,0,0,12,6,0,1,0,8
10/03,火,ヤ,神宮,18:00,6-10,V,"30,517",○,4,4,3:14,中川 皓太,ギルメット,山本泰寛,左本,戸根 千明,秋吉 亮,15,4,1,7,11,0,6,5,5
10/01,日,阪,東京ド,14:00,4-5,H,"46,809",●,4,3,2:58,田口 麗斗,岩田 稔,糸井嘉男,左安,岩田 稔,田口 麗斗,8,1,0,5,8,2,5,5,7
09/30,土,阪,東京ド,18:00,1-5,H,"46,023",●,4,4,3:10,畠 世周,岩貞 祐太,福留孝介,二ゴロ,岩貞 祐太,畠 世周,5,1,0,10,9,1,5,5,9
09/27,水,中,東京ド,18:00,2-1,H,"45,053",○,4,5,2:33,マイコラス,小笠原 慎之介,村田修一,中本,マイコラス,小笠原 慎之介,7,1,0,9,6,1,1,1,10
09/26,火,ヤ,東京ド,18:00,3-0,H,"45,653",○,4,4,3:12,菅野 智之,岩橋 慶侍,中井大介,中安,菅野 智之,岩橋 慶侍,9,2,0,4,6,0,0,0,9
09/25,月,ヤ,神宮,18:00,5-6,V,"23,464",○,4,3,3:35,吉川 光夫,ギルメット,マギー,右安,マシソン,秋吉 亮,13,1,0,6,7,0,5,5,6
09/24,日,ヤ,神宮,18:00,3-5,V,"26,089",○,4,2,3:14,田口 麗斗,ブキャナン,村田修一,右安,田口 麗斗,ブキャナン,7,0,0,8,11,1,3,3,12
09/23,土,広,マツダ,13:30,3-2,V,"31,808",●,4,1,2:38,畠 世周,薮田 和樹,松山竜平,右安,薮田 和樹,畠 世周,9,1,0,5,3,1,3,1,6
09/22,金,広,マツダ,18:00,5-0,V,"31,390",●,4,2,2:34,マイコラス,中村 祐太,,,中村 祐太,マイコラス,3,0,1,7,9,0,5,5,5
09/20,水,阪,甲子園,18:00,0-2,V,"46,035",○,4,3,2:39,菅野 智之,秋山 拓巳,マギー,左本,菅野 智之,秋山 拓巳,7,1,0,5,2,0,0,0,6
09/19,火,中,ナゴヤ,18:00,10-2,V,"24,326",●,4,2,2:46,吉川 光夫,小笠原 慎之介,松井佑介,左本,小笠原 慎之介,吉川 光夫,7,1,0,6,12,3,10,10,7
09/18,月,中,ナゴヤ,14:00,2-0,V,"34,651",●,3,3,2:14,田口 麗斗,笠原 祥太郎,藤井淳志,右本,笠原 祥太郎,マシソン,2,0,0,2,7,1,2,2,6
09/17,日,Ｄ,東京ド,14:00,6-1,H,"46,706",○,3,4,2:54,畠 世周,濵口 遥大,村田修一,中２,畠 世周,濵口 遥大,9,0,0,8,5,0,1,1,7
09/16,土,Ｄ,東京ド,18:00,0-1,H,"45,383",●,3,3,2:52,マイコラス,井納 翔一,梶谷隆幸,右本,井納 翔一,マイコラス,6,0,0,7,5,1,1,1,8
09/14,木,阪,甲子園,18:00,2-2,V,"44,352",△,3,4,4:03,菅野 智之,秋山 拓巳,,,,,10,0,0,8,9,0,2,2,12
09/13,水,阪,甲子園,18:00,2-7,V,"43,955",○,3,4,3:21,吉川 光夫,岩田 稔,小林誠司,左安,吉川 光夫,岩田 稔,15,1,0,9,11,1,2,2,4
09/12,火,阪,甲子園,18:00,5-5,V,"42,715",△,4,3,4:24,田口 麗斗,藤浪 晋太郎,,,,,11,1,1,11,12,0,5,5,12
09/10,日,ヤ,東京ド,14:00,6-1,H,"44,141",○,4,3,2:55,マイコラス,成瀬 善久,長野久義,一ゴロ,マイコラス,成瀬 善久,13,0,0,6,4,0,1,1,9
09/09,土,ヤ,東京ド,14:00,0-4,H,"43,966",●,4,2,3:01,畠 世周,小川 泰弘,山田哲人,中本,小川 泰弘,畠 世周,6,0,0,7,5,2,4,4,5
09/08,金,ヤ,東京ド,18:00,4-1,H,"44,046",○,4,3,2:35,菅野 智之,岩橋 慶侍,マギー,左２,菅野 智之,岩橋 慶侍,5,0,0,12,6,0,1,0,8
