
10/05,木,日,メット,18:00,6-8,H,"27,379",●,2,18,3:08,ウルフ,吉田 侑樹,大田泰示,中本,吉田 侑樹,髙橋 朋己,10,3,1,7,10,1,8,7,7
10/03,火,楽,メット,18:00,10-3,H,"21,611",○,2,19,3:18,菊池 雄星,美馬 学,山川穂高,右本,菊池 雄星,美馬 学,16,4,1,5,6,0,3,1,10
10/02,月,楽,メット,18:00,1-2,H,"19,631",●,2,18,3:26,十亀 剣,則本 昂大,ウィーラー,左本,則本 昂大,十亀 剣,7,0,1,13,8,1,2,2,7
10/01,日,日,札幌ド,14:00,0-5,V,"32,145",○,2,19,3:00,野上 亮磨,上沢 直之,,,野上 亮磨,上沢 直之,8,0,6,9,5,0,0,0,8

09/30,土,日,札幌ド,18:00,4-3,V,"33,954",●,2,18,2:50,多和田 真三郎,有原 航平,横尾俊建,右犠飛,有原 航平,シュリッター,9,0,1,4,6,1,4,2,6
09/28,木,ソ,ヤフオ,18:00,8-5,V,"33,154",●,2,19,3:33,岡本 洋介,武田 翔太,デスパイネ,遊失,武田 翔太,岡本 洋介,10,1,1,8,5,2,8,7,5
09/24,日,オ,メット,14:00,8-5,H,"26,261",○,2,20,3:24,髙橋 光成,松葉 貴大,源田壮亮,中２,髙橋 光成,松葉 貴大,11,2,2,5,8,0,5,4,9
09/23,土,オ,メット,18:00,5-0,H,"26,402",○,2,19,2:12,野上 亮磨,山岡 泰輔,山川穂高,右安,野上 亮磨,山岡 泰輔,9,0,0,5,4,0,0,0,5
09/21,木,ロ,メット,18:00,3-4,H,"18,986",●,2,18,3:03,菊池 雄星,佐々木 千隼,田村龍弘,中犠飛,佐々木 千隼,シュリッター,8,2,0,7,10,0,4,4,7
09/20,水,ロ,メット,18:00,1-3,H,"15,727",●,2,19,2:33,十亀 剣,酒居 知史,吉田裕太,左本,酒居 知史,十亀 剣,4,1,0,5,8,1,3,3,11
09/19,火,ロ,メット,18:00,3-6,H,"13,265",●,2,20,3:03,岡本 洋介,二木 康太,角中勝也,右本,二木 康太,岡本 洋介,12,0,0,1,11,1,6,6,4
09/18,月,ソ,メット,13:00,14-13,H,"30,996",○,2,21,4:24,ウルフ,和田 毅,金子侑司,左２,牧田 和久,モイネロ,20,1,2,4,14,2,13,9,6
09/17,日,ソ,メット,13:00,3-2,H,"28,033",○,2,20,3:58,多和田 真三郎,千賀 滉大,栗山巧,四球,牧田 和久,モイネロ,7,1,1,11,10,0,2,2,9
09/16,土,ソ,メット,14:00,3-7,H,"30,608",●,2,19,3:19,野上 亮磨,東浜 巨,柳田悠岐,左本,東浜 巨,野上 亮磨,6,1,0,12,11,2,7,7,8
09/14,木,楽,Kob,18:00,1-2,V,"21,514",○,2,20,3:12,菊池 雄星,岸 孝之,浅村栄斗,中安,菊池 雄星,岸 孝之,6,0,2,4,5,0,1,0,11
09/13,水,楽,Kob,18:00,3-7,V,"26,451",○,2,19,3:47,十亀 剣,藤平 尚真,中村剛也,左本,十亀 剣,藤平 尚真,11,1,1,10,7,1,3,1,6
09/10,日,日,メット,13:00,8-7,H,"30,663",○,2,18,3:11,ウルフ,石川 直也,源田壮亮,右安,平井 克典,玉井 大翔,9,3,2,7,10,1,7,4,9
09/09,土,日,メット,14:00,0-1,H,"30,439",●,2,17,2:40,多和田 真三郎,加藤 貴之,レアード,左本,加藤 貴之,多和田 真三郎,4,0,2,9,4,1,1,1,7
09/08,金,日,メット,18:00,2-9,H,"26,450",●,2,18,2:48,野上 亮磨,高梨 裕稔,大谷翔平,中本,高梨 裕稔,野上 亮磨,5,1,1,11,10,2,9,6,8
