
10/10,火,楽,Kob,13:00,5-0,V,"20,379",●,6,-33,2:38,成田 翔,岸 孝之,藤田一也,投犠打,森 雄大,成田 翔,4,0,0,11,8,0,5,3,4
10/09,月,オ,ＺＯＺ,13:00,6-1,H,"23,183",○,6,-32,2:43,酒居 知史,山本 由伸,パラデス,右本,酒居 知史,山本 由伸,8,1,1,7,9,0,1,1,8
10/05,木,楽,ＺＯＺ,18:15,3-2,H,"20,278",○,6,-33,2:43,佐々木 千隼,古川 侑利,井上晴哉,遊安,関谷 亮太,古川 侑利,7,0,1,4,6,0,2,1,4
10/04,水,楽,ＺＯＺ,18:15,1-1,H,"16,843",△,6,-34,4:39,二木 康太,岸 孝之,,,,,10,0,4,14,11,0,1,1,12
10/01,日,楽,Kob,14:00,2-5,V,"26,430",○,6,-34,3:32,酒居 知史,辛島 航,大嶺翔太,中２,チェン・グァンユウ,松井 裕樹,7,1,0,7,5,0,2,1,8

09/30,土,楽,Kob,18:00,3-4,V,"25,815",○,6,-35,3:26,西野 勇士,塩見 貴洋,ペーニャ,右犠飛,西野 勇士,塩見 貴洋,8,2,2,8,9,0,3,3,8
09/29,金,オ,ＺＯＺ,18:15,0-4,H,"23,212",●,6,-36,2:24,成田 翔,吉田 一将,Ｔ－岡田,右本,吉田 一将,成田 翔,3,0,1,2,6,2,4,4,8
09/26,火,ソ,ヤフオ,18:00,3-4,V,"31,589",○,6,-35,2:54,二木 康太,和田 毅,鈴木大地,右本,二木 康太,岩嵜 翔,7,2,0,4,5,2,3,3,9
09/24,日,日,ＺＯＺ,14:00,4-3,H,"30,096",○,6,-36,4:02,涌井 秀章,高梨 裕稔,鈴木大地,右安,田中 靖洋,白村 明弘,11,2,2,6,7,0,3,3,15
09/23,土,日,ＺＯＺ,18:00,3-4,H,"28,867",●,6,-37,2:55,関谷 亮太,有原 航平,大谷翔平,右本,有原 航平,有吉 優樹,7,1,0,8,8,1,4,3,11
09/21,木,西,メット,18:00,3-4,V,"18,986",○,6,-36,3:03,佐々木 千隼,菊池 雄星,田村龍弘,中犠飛,佐々木 千隼,シュリッター,10,0,1,7,8,2,3,3,7
