
09/16,日,楽,ＺＯＺ,14:00,1-3,H,"29,879",●,5,-11,3:12,涌井 秀章,岸 孝之,内田靖人,左本,岸 孝之,涌井 秀章,6,0,1,12,10,1,3,3,5
09/15,土,楽,ＺＯＺ,14:00,3-10,H,"23,375",●,5,-10,3:23,二木 康太,則本 昂大,,,則本 昂大,二木 康太,7,1,2,8,19,3,10,9,7
09/09,日,西,メット,13:00,6-2,V,"29,940",●,5,-9,3:23,種市 篤暉,今井 達也,森友哉,中２,今井 達也,種市 篤暉,10,1,2,5,9,0,6,6,1
09/08,土,西,メット,14:00,9-13,V,"30,031",○,5,-8,4:17,ボルシンガー,十亀 剣,藤岡裕大,右犠飛,大谷 智久,マーティン,16,1,2,7,8,1,9,9,12
09/07,金,西,メット,18:00,10-4,V,"25,612",●,5,-9,3:40,二木 康太,菊池 雄星,浅村栄斗,左安,菊池 雄星,松永 昂大,7,1,0,8,16,1,10,10,6
09/06,木,ソ,ＺＯＺ,18:15,1-2,H,"14,845",●,5,-8,3:27,涌井 秀章,大竹 耕太郎,今宮健太,左２,大竹 耕太郎,涌井 秀章,8,1,0,6,7,0,2,2,5
09/05,水,ソ,ＺＯＺ,18:15,11-3,H,"15,189",○,5,-7,3:26,シェッパーズ,松本 裕樹,角中勝也,右本,シェッパーズ,松本 裕樹,13,3,0,6,12,0,3,3,5
09/02,日,日,ＺＯＺ,17:00,2-3,H,"26,558",●,5,-8,3:45,種市 篤暉,マルティネス,西川遥輝,右本,宮西 尚生,内 竜也,7,0,1,7,6,1,3,3,5
09/01,土,日,ＺＯＺ,17:00,3-4,H,"27,082",●,5,-7,3:30,ボルシンガー,上沢 直之,近藤健介,左犠飛,宮西 尚生,内 竜也,3,1,0,8,11,1,4,4,6

08/31,金,日,ＺＯＺ,18:30,2-7,H,"29,166",●,4,-6,2:47,二木 康太,有原 航平,近藤健介,左安,有原 航平,二木 康太,6,1,1,6,12,1,7,6,9
08/29,水,ソ,ヤフオ,18:00,7-0,V,"35,365",●,4,-5,3:02,シェッパーズ,松本 裕樹,明石健志,右２,石川 柊太,シェッパーズ,2,0,1,5,10,0,7,5,5
08/28,火,ソ,ヤフオ,18:00,1-2,V,"36,487",○,4,-4,3:37,有吉 優樹,東浜 巨,田村龍弘,中２,有吉 優樹,スアレス,9,0,0,5,10,0,1,1,4
08/26,日,オ,ＺＯＺ,18:00,1-8,H,"25,728",●,4,-5,3:20,種市 篤暉,西 勇輝,吉田正尚,二ゴロ,西 勇輝,種市 篤暉,7,0,2,6,11,0,8,8,9
08/25,土,オ,ＺＯＺ,18:00,6-5,H,"27,141",○,4,-4,3:35,チェン・グァンユウ,ローチ,井上晴哉,左安,内 竜也,増井 浩俊,12,0,0,11,10,0,5,5,4
08/24,金,オ,ＺＯＺ,18:15,1-3,H,"25,448",●,4,-5,2:58,二木 康太,ディクソン,中島宏之,右安,ディクソン,二木 康太,4,0,0,10,9,0,3,1,9
08/23,木,西,ＺＯＺ,18:15,2-4,H,"24,142",●,4,-4,2:53,シェッパーズ,榎田 大樹,秋山翔吾,左本,榎田 大樹,シェッパーズ,8,0,1,10,9,1,4,4,6
08/22,水,西,ＺＯＺ,18:15,3-8,H,"26,432",●,4,-3,3:17,酒居 知史,今井 達也,秋山翔吾,左２,今井 達也,酒居 知史,6,1,2,7,9,1,8,8,9
